Cc 2;Country;Engtype 2;Gid 0;Gid 1;Gid 2;Hasc 2;Name 1;Name 2;Nl Name 1;Nl Name 2;Type 2;Varname 2;Geometry
3319;Indonesia;Regency;IDN;IDN.10_1;IDN.10.19_1;ID.JT.KU;Jawa Tengah;Kudus;NA;NA;Kabupaten;NA;MultiPolygon
3308;Indonesia;Regency;IDN;IDN.10_1;IDN.10.20_1;ID.JT.MR;Jawa Tengah;Magelang;NA;NA;Kabupaten;NA;Polygon
3318;Indonesia;Regency;IDN;IDN.10_1;IDN.10.21_1;ID.JT.PA;Jawa Tengah;Pati;NA;NA;Kabupaten;NA;Polygon
3326;Indonesia;Regency;IDN;IDN.10_1;IDN.10.22_1;ID.JT.PR;Jawa Tengah;Pekalongan;NA;NA;Kabupaten;NA;Polygon
3327;Indonesia;Regency;IDN;IDN.10_1;IDN.10.23_1;ID.JT.PL;Jawa Tengah;Pemalang;NA;NA;Kabupaten;NA;Polygon
3303;Indonesia;Regency;IDN;IDN.10_1;IDN.10.24_1;ID.JT.PB;Jawa Tengah;Purbalingga;NA;NA;Kabupaten;NA;Polygon
3306;Indonesia;Regency;IDN;IDN.10_1;IDN.10.25_1;ID.JT.PW;Jawa Tengah;Purworejo;NA;NA;Kabupaten;NA;Polygon
3317;Indonesia;Regency;IDN;IDN.10_1;IDN.10.26_1;ID.JT.RE;Jawa Tengah;Rembang;NA;NA;Kabupaten;NA;MultiPolygon
3373;Indonesia;City;IDN;IDN.10_1;IDN.10.27_1;ID.JT.SA;Jawa Tengah;Salatiga;NA;NA;Kota;NA;Polygon
3322;Indonesia;Regency;IDN;IDN.10_1;IDN.10.28_1;ID.JT.SR;Jawa Tengah;Semarang;NA;NA;Kabupaten;NA;MultiPolygon
3314;Indonesia;Regency;IDN;IDN.10_1;IDN.10.29_1;ID.JT.SG;Jawa Tengah;Sragen;NA;NA;Kabupaten;NA;MultiPolygon
3311;Indonesia;Regency;IDN;IDN.10_1;IDN.10.30_1;ID.JT.SH;Jawa Tengah;Sukoharjo;NA;NA;Kabupaten;NA;Polygon
3372;Indonesia;City;IDN;IDN.10_1;IDN.10.31_1;ID.JT.SK;Jawa Tengah;Surakarta;NA;NA;Kota;NA;Polygon
3328;Indonesia;Regency;IDN;IDN.10_1;IDN.10.32_1;ID.JT.TR;Jawa Tengah;Tegal;NA;NA;Kabupaten;NA;Polygon
3323;Indonesia;Regency;IDN;IDN.10_1;IDN.10.33_1;ID.JT.TG;Jawa Tengah;Temanggung;NA;NA;Kabupaten;NA;Polygon
3388;Indonesia;Water Body;IDN;IDN.10_1;IDN.10.34_1;NA;Jawa Tengah;Waduk Kedungombo;NA;NA;Water Body;NA;MultiPolygon
3312;Indonesia;Regency;IDN;IDN.10_1;IDN.10.35_1;ID.JT.WG;Jawa Tengah;Wonogiri;NA;NA;Kabupaten;NA;Polygon
3307;Indonesia;Regency;IDN;IDN.10_1;IDN.10.36_1;ID.JT.WS;Jawa Tengah;Wonosobo;NA;NA;Kabupaten;NA;Polygon
3526;Indonesia;Regency;IDN;IDN.11_1;IDN.11.1_1;ID.JI.BK;Jawa Timur;Bangkalan;NA;NA;Kabupaten;NA;Polygon
3510;Indonesia;Regency;IDN;IDN.11_1;IDN.11.2_1;ID.JI.BW;Jawa Timur;Banyuwangi;NA;NA;Kabupaten;NA;MultiPolygon
3579;Indonesia;City;IDN;IDN.11_1;IDN.11.3_1;ID.JI.BA;Jawa Timur;Batu;NA;NA;Kota;NA;Polygon
3505;Indonesia;Regency;IDN;IDN.11_1;IDN.11.4_1;ID.JI.BR;Jawa Timur;Blitar;NA;NA;Kabupaten;NA;MultiPolygon
3522;Indonesia;Regency;IDN;IDN.11_1;IDN.11.5_1;ID.JI.BJ;Jawa Timur;Bojonegoro;NA;NA;Kabupaten;NA;Polygon
3511;Indonesia;Regency;IDN;IDN.11_1;IDN.11.6_1;ID.JI.BD;Jawa Timur;Bondowoso;NA;NA;Kabupaten;NA;Polygon
3525;Indonesia;Regency;IDN;IDN.11_1;IDN.11.7_1;ID.JI.GR;Jawa Timur;Gresik;NA;NA;Kabupaten;NA;MultiPolygon
3509;Indonesia;Regency;IDN;IDN.11_1;IDN.11.8_1;ID.JI.JE;Jawa Timur;Jember;NA;NA;Kabupaten;NA;MultiPolygon
3517;Indonesia;Regency;IDN;IDN.11_1;IDN.11.9_1;ID.JI.JO;Jawa Timur;Jombang;NA;NA;Kabupaten;NA;Polygon
3506;Indonesia;Regency;IDN;IDN.11_1;IDN.11.10_1;ID.JI.KR;Jawa Timur;Kediri;NA;NA;Kabupaten;NA;Polygon
3572;Indonesia;City;IDN;IDN.11_1;IDN.11.11_1;ID.JI.BM;Jawa Timur;Kota Blitar;NA;NA;Kota;NA;Polygon
3571;Indonesia;City;IDN;IDN.11_1;IDN.11.12_1;ID.JI.KM;Jawa Timur;Kota Kediri;NA;NA;Kota;NA;Polygon
3577;Indonesia;City;IDN;IDN.11_1;IDN.11.13_1;ID.JI.MD;Jawa Timur;Kota Madiun;NA;NA;Kota;NA;MultiPolygon
3573;Indonesia;City;IDN;IDN.11_1;IDN.11.14_1;ID.JI.ML;Jawa Timur;Kota Malang;NA;NA;Kota;NA;Polygon
3576;Indonesia;City;IDN;IDN.11_1;IDN.11.15_1;ID.JI.MJ;Jawa Timur;Kota Mojokerto;NA;NA;Kota;NA;Polygon
3575;Indonesia;City;IDN;IDN.11_1;IDN.11.16_1;ID.JI.PS;Jawa Timur;Kota Pasuruan;NA;NA;Kota;NA;Polygon
3574;Indonesia;City;IDN;IDN.11_1;IDN.11.17_1;ID.JI.PB;Jawa Timur;Kota Probolinggo;NA;NA;Kota;NA;MultiPolygon
3524;Indonesia;Regency;IDN;IDN.11_1;IDN.11.18_1;ID.JI.LA;Jawa Timur;Lamongan;NA;NA;Kabupaten;NA;MultiPolygon
3508;Indonesia;Regency;IDN;IDN.11_1;IDN.11.19_1;ID.JI.LU;Jawa Timur;Lumajang;NA;NA;Kabupaten;NA;MultiPolygon
3519;Indonesia;Regency;IDN;IDN.11_1;IDN.11.20_1;ID.JI.MN;Jawa Timur;Madiun;NA;NA;Kabupaten;NA;Polygon
3520;Indonesia;Regency;IDN;IDN.11_1;IDN.11.21_1;ID.JI.MT;Jawa Timur;Magetan;NA;NA;Kabupaten;NA;Polygon
3507;Indonesia;Regency;IDN;IDN.11_1;IDN.11.22_1;ID.JI.MG;Jawa Timur;Malang;NA;NA;Kabupaten;NA;MultiPolygon
3516;Indonesia;Regency;IDN;IDN.11_1;IDN.11.23_1;ID.JI.MK;Jawa Timur;Mojokerto;NA;NA;Kabupaten;NA;Polygon
3518;Indonesia;Regency;IDN;IDN.11_1;IDN.11.24_1;ID.JI.NJ;Jawa Timur;Nganjuk;NA;NA;Kabupaten;NA;Polygon
3521;Indonesia;Regency;IDN;IDN.11_1;IDN.11.25_1;ID.JI.NW;Jawa Timur;Ngawi;NA;NA;Kabupaten;NA;Polygon
3501;Indonesia;Regency;IDN;IDN.11_1;IDN.11.26_1;ID.JI.PC;Jawa Timur;Pacitan;NA;NA;Kabupaten;NA;MultiPolygon
3528;Indonesia;Regency;IDN;IDN.11_1;IDN.11.27_1;ID.JI.PK;Jawa Timur;Pamekasan;NA;NA;Kabupaten;NA;MultiPolygon
3514;Indonesia;Regency;IDN;IDN.11_1;IDN.11.28_1;ID.JI.PR;Jawa Timur;Pasuruan;NA;NA;Kabupaten;NA;Polygon
3502;Indonesia;Regency;IDN;IDN.11_1;IDN.11.29_1;ID.JI.PG;Jawa Timur;Ponorogo;NA;NA;Kabupaten;NA;Polygon
