id,kode_kabupaten_kota,kode_provinsi,kondisi_hutan,luas_hutan,nama_kabupaten_kota,nama_provinsi,satuan,tahun
256,3277,32,BAIK,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2015
257,3277,32,SEDANG,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2015
258,3277,32,RUSAK,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2015
259,3277,32,REHABILITASI,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2015
260,3277,32,BERUBAH FUNGSI,0,KOTA CIMAHI,JAWA BARAT,HEKTAR,2015
261,3278,32,BAIK,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2015
262,3278,32,SEDANG,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2015
263,3278,32,RUSAK,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2015
264,3278,32,REHABILITASI,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2015
265,3278,32,BERUBAH FUNGSI,0,KOTA TASIKMALAYA,JAWA BARAT,HEKTAR,2015
266,3279,32,BAIK,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2015
267,3279,32,SEDANG,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2015
268,3279,32,RUSAK,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2015
269,3279,32,REHABILITASI,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2015
270,3279,32,BERUBAH FUNGSI,0,KOTA BANJAR,JAWA BARAT,HEKTAR,2015
271,3201,32,BAIK,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2016
272,3201,32,SEDANG,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2016
273,3201,32,RUSAK,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2016
274,3201,32,REHABILITASI,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2016
275,3201,32,BERUBAH FUNGSI,0,KABUPATEN BOGOR,JAWA BARAT,HEKTAR,2016
276,3202,32,BAIK,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2016
277,3202,32,SEDANG,500,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2016
278,3202,32,RUSAK,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2016
279,3202,32,REHABILITASI,0,KABUPATEN SUKABUMI,JAWA BARAT,HEKTAR,2016
