,Judul,View,Download,Tanggal Upload,Tanggal Putus,Status,Jenis
2567,Putus :,10,7,2023-03-30,03-11-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Militer,Berkekuatan Hukum Tetap
2568,Putus :,57,63,2023-03-30,29-09-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  ITE,Berkekuatan Hukum Tetap
2569,Register :,3,2,2023-03-30,27-12-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2570,Putusan MAHKAMAH AGUNG Nomor 6301 B/PK/PJK/2022,2,1,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus,Berkekuatan Hukum Tetap
2571,Putusan MAHKAMAH AGUNG Nomor 6725 K/Pid.Sus/2022,18,3,2023-03-30,10-03-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Pidsus Kehutanan,Berkekuatan Hukum Tetap
2572,Putusan MAHKAMAH AGUNG Nomor 787 K/Pid.Sus/2022,26,27,2023-03-30,31-01-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penipuan,Berkekuatan Hukum Tetap
2573,Putusan MAHKAMAH AGUNG Nomor 47 K/Pid/2023,22,7,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pajak  Pajak Pertambahan NilaiPPN,Berkekuatan Hukum Tetap
2574,Putusan MAHKAMAH AGUNG Nomor 5524 B/PK/PJK/2022,12,2,2023-03-30,17-03-2020,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2575,Putusan MAHKAMAH AGUNG Nomor 279 K/Pid.Sus/2020,13,11,2023-03-30,29-09-2022,Pengadilan  MAHKAMAH AGUNG  Perdata Agama  Waris Islam,Berkekuatan Hukum Tetap
2576,Putusan MAHKAMAH AGUNG Nomor 819 K/Ag/2022,7,2,2023-03-30,26-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2577,Putusan MAHKAMAH AGUNG Nomor 5979 B/PK/PJK/2022,45,27,2023-03-30,21-09-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Pencucian Uang,Berkekuatan Hukum Tetap
2578,Putusan MAHKAMAH AGUNG Nomor 4525 K/Pid.Sus/2022,7,2,2023-03-30,26-01-2023,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2579,Upload :,36,32,2023-03-30,23-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Pemalsuan,Berkekuatan Hukum Tetap
2580,Putusan MAHKAMAH AGUNG Nomor 803 PK/Pid.Sus/2022,4,2,2023-03-30,26-07-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2581,Upload :,5,4,2023-03-30,06-09-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2582,Upload :,8,3,2023-03-30,24-11-2022,Pengadilan  MAHKAMAH AGUNG  TUN  Pajak,Berkekuatan Hukum Tetap
2583,Upload :,14,1,2023-03-30,30-12-2022,Pengadilan  MAHKAMAH AGUNG  Perdata  Perbuatan Melawan Hukum,Berkekuatan Hukum Tetap
2584,Upload :,19,7,2023-03-30,08-12-2022,Pengadilan  MAHKAMAH AGUNG  Pajak  Pajak Pertambahan NilaiPPN,Berkekuatan Hukum Tetap
2585,Upload :,13,7,2023-03-30,29-09-2022,Pengadilan  MAHKAMAH AGUNG  Perdata Agama  Waris Islam,Berkekuatan Hukum Tetap
2586,Putus :,13,3,2023-03-30,16-03-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2587,Putus :,9,4,2023-03-30,22-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Umum  Penipuan,Berkekuatan Hukum Tetap
2588,Putus :,6,4,2023-03-30,22-09-2022,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
2589,Putus :,5,2,2023-03-30,09-02-2023,Pengadilan  MAHKAMAH AGUNG  Pidana Khusus  Narkotika dan Psikotropika,Berkekuatan Hukum Tetap
