id,kode_provinsi,nama_provinsi,kesatuan_pengelolaan_hutan,jenis_kayu,produksi_kayu_bulat,satuan,tahun
214,32,JAWA BARAT,GARUT,AGATHIS,0.0,M3,2017
215,32,JAWA BARAT,GARUT,SONOKELING,0.0,M3,2017
216,32,JAWA BARAT,GARUT,RASAMALA,0.0,M3,2017
217,32,JAWA BARAT,GARUT,PUSPA,0.0,M3,2017
218,32,JAWA BARAT,GARUT,MAESOPSIS,0.0,M3,2017
219,32,JAWA BARAT,GARUT,ACACIA MANGIUM,0.0,M3,2017
220,32,JAWA BARAT,GARUT,RIMBA CAMPURAN,0.0,M3,2017
221,32,JAWA BARAT,TASIKMALAYA,JATI,1504.487,M3,2017
222,32,JAWA BARAT,TASIKMALAYA,PINUS,71.25,M3,2017
223,32,JAWA BARAT,TASIKMALAYA,MAHONI,117.52,M3,2017
224,32,JAWA BARAT,TASIKMALAYA,SENGON,0.0,M3,2017
225,32,JAWA BARAT,TASIKMALAYA,AGATHIS,0.0,M3,2017
226,32,JAWA BARAT,TASIKMALAYA,SONOKELING,0.0,M3,2017
227,32,JAWA BARAT,TASIKMALAYA,RASAMALA,0.0,M3,2017
228,32,JAWA BARAT,TASIKMALAYA,PUSPA,0.0,M3,2017
229,32,JAWA BARAT,TASIKMALAYA,MAESOPSIS,0.0,M3,2017
230,32,JAWA BARAT,TASIKMALAYA,ACACIA MANGIUM,9.21,M3,2017
231,32,JAWA BARAT,TASIKMALAYA,RIMBA CAMPURAN,402.14,M3,2017
232,32,JAWA BARAT,CIAMIS,JATI,15621.787,M3,2017
233,32,JAWA BARAT,CIAMIS,PINUS,0.0,M3,2017
234,32,JAWA BARAT,CIAMIS,MAHONI,6412.47,M3,2017
235,32,JAWA BARAT,CIAMIS,SENGON,0.0,M3,2017
236,32,JAWA BARAT,CIAMIS,AGATHIS,0.0,M3,2017
237,32,JAWA BARAT,CIAMIS,SONOKELING,0.0,M3,2017
238,32,JAWA BARAT,CIAMIS,RASAMALA,0.0,M3,2017
239,32,JAWA BARAT,CIAMIS,PUSPA,0.0,M3,2017
240,32,JAWA BARAT,CIAMIS,MAESOPSIS,0.0,M3,2017
241,32,JAWA BARAT,CIAMIS,ACACIA MANGIUM,39.89,M3,2017
242,32,JAWA BARAT,CIAMIS,RIMBA CAMPURAN,0.87,M3,2017
243,32,JAWA BARAT,SUMEDANG,JATI,255.557,M3,2017
244,32,JAWA BARAT,SUMEDANG,PINUS,2229.19,M3,2017
245,32,JAWA BARAT,SUMEDANG,MAHONI,31.58,M3,2017
246,32,JAWA BARAT,SUMEDANG,SENGON,0.0,M3,2017
247,32,JAWA BARAT,SUMEDANG,AGATHIS,0.0,M3,2017
248,32,JAWA BARAT,SUMEDANG,SONOKELING,0.0,M3,2017
249,32,JAWA BARAT,SUMEDANG,RASAMALA,0.0,M3,2017
250,32,JAWA BARAT,SUMEDANG,PUSPA,0.33,M3,2017
251,32,JAWA BARAT,SUMEDANG,MAESOPSIS,0.0,M3,2017
252,32,JAWA BARAT,SUMEDANG,ACACIA MANGIUM,0.0,M3,2017
253,32,JAWA BARAT,SUMEDANG,RIMBA CAMPURAN,17.0,M3,2017
254,32,JAWA BARAT,MAJALENGKA,JATI,6.02,M3,2017
255,32,JAWA BARAT,MAJALENGKA,PINUS,631.02,M3,2017
256,32,JAWA BARAT,MAJALENGKA,MAHONI,3539.12,M3,2017
257,32,JAWA BARAT,MAJALENGKA,SENGON,0.0,M3,2017
258,32,JAWA BARAT,MAJALENGKA,AGATHIS,0.0,M3,2017
259,32,JAWA BARAT,MAJALENGKA,SONOKELING,159.96,M3,2017
260,32,JAWA BARAT,MAJALENGKA,RASAMALA,0.0,M3,2017
261,32,JAWA BARAT,MAJALENGKA,PUSPA,0.0,M3,2017
262,32,JAWA BARAT,MAJALENGKA,MAESOPSIS,0.0,M3,2017
263,32,JAWA BARAT,MAJALENGKA,ACACIA MANGIUM,0.0,M3,2017
264,32,JAWA BARAT,MAJALENGKA,RIMBA CAMPURAN,44.08,M3,2017
265,32,JAWA BARAT,INDRAMAYU,JATI,3004.327,M3,2017
266,32,JAWA BARAT,INDRAMAYU,PINUS,0.0,M3,2017
267,32,JAWA BARAT,INDRAMAYU,MAHONI,2.65,M3,2017
268,32,JAWA BARAT,INDRAMAYU,SENGON,0.0,M3,2017
269,32,JAWA BARAT,INDRAMAYU,AGATHIS,0.0,M3,2017
270,32,JAWA BARAT,INDRAMAYU,SONOKELING,0.0,M3,2017
271,32,JAWA BARAT,INDRAMAYU,RASAMALA,0.0,M3,2017
272,32,JAWA BARAT,INDRAMAYU,PUSPA,0.0,M3,2017
273,32,JAWA BARAT,INDRAMAYU,MAESOPSIS,0.0,M3,2017
274,32,JAWA BARAT,INDRAMAYU,ACACIA MANGIUM,0.0,M3,2017
275,32,JAWA BARAT,INDRAMAYU,RIMBA CAMPURAN,0.0,M3,2017
276,32,JAWA BARAT,KUNINGAN,JATI,854.496,M3,2017
277,32,JAWA BARAT,KUNINGAN,PINUS,285.19,M3,2017
278,32,JAWA BARAT,KUNINGAN,MAHONI,58.99,M3,2017
279,32,JAWA BARAT,KUNINGAN,SENGON,1.16,M3,2017
280,32,JAWA BARAT,KUNINGAN,AGATHIS,0.0,M3,2017
281,32,JAWA BARAT,KUNINGAN,SONOKELING,0.0,M3,2017
282,32,JAWA BARAT,KUNINGAN,RASAMALA,0.0,M3,2017
283,32,JAWA BARAT,KUNINGAN,PUSPA,0.0,M3,2017
284,32,JAWA BARAT,KUNINGAN,MAESOPSIS,0.0,M3,2017
285,32,JAWA BARAT,KUNINGAN,ACACIA MANGIUM,0.0,M3,2017
286,32,JAWA BARAT,KUNINGAN,RIMBA CAMPURAN,67.37,M3,2017
287,32,JAWA BARAT,BOGOR,JATI,0.0,M3,2018
288,32,JAWA BARAT,BOGOR,PINUS,0.0,M3,2018
289,32,JAWA BARAT,BOGOR,MAHONI,0.0,M3,2018
290,32,JAWA BARAT,BOGOR,SENGON,0.0,M3,2018
291,32,JAWA BARAT,BOGOR,AGATHIS,0.0,M3,2018
292,32,JAWA BARAT,BOGOR,SONOKELING,0.0,M3,2018
293,32,JAWA BARAT,BOGOR,RASAMALA,0.0,M3,2018
294,32,JAWA BARAT,BOGOR,PUSPA,0.0,M3,2018
295,32,JAWA BARAT,BOGOR,MAESOPSIS,43.21,M3,2018
296,32,JAWA BARAT,BOGOR,ACACIA MANGIUM,22534.65,M3,2018
297,32,JAWA BARAT,BOGOR,RIMBA CAMPURAN,0.0,M3,2018
298,32,JAWA BARAT,SUKABUMI,JATI,726.07,M3,2018
299,32,JAWA BARAT,SUKABUMI,PINUS,16133.43,M3,2018
300,32,JAWA BARAT,SUKABUMI,MAHONI,6231.46,M3,2018
301,32,JAWA BARAT,SUKABUMI,SENGON,0.0,M3,2018
302,32,JAWA BARAT,SUKABUMI,AGATHIS,0.0,M3,2018
303,32,JAWA BARAT,SUKABUMI,SONOKELING,0.0,M3,2018
304,32,JAWA BARAT,SUKABUMI,RASAMALA,2195.85,M3,2018
305,32,JAWA BARAT,SUKABUMI,PUSPA,1212.62,M3,2018
306,32,JAWA BARAT,SUKABUMI,MAESOPSIS,159.62,M3,2018
307,32,JAWA BARAT,SUKABUMI,ACACIA MANGIUM,787.61,M3,2018
308,32,JAWA BARAT,SUKABUMI,RIMBA CAMPURAN,174.84,M3,2018
