,title,date,description,link
71,"Sukses Raih WTP 13 Kali, LAN Mendapat Apresiasi Tinggi dari Menkeu","Selasa, 22 September 2020 - 20:36 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/09/22/20364731/sukses-raih-wtp-13-kali-lan-mendapat-apresiasi-tinggi-dari-menkeu
72,Tugas Pejabat Publik di Masa Pandemi Covid-19 Semakin Tidak Mudah,"Selasa, 15 September 2020 - 18:47 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/09/15/18470781/tugas-pejabat-publik-di-masa-pandemi-covid-19-semakin-tidak-mudah
73,Platform E-Learning ASN Unggul Jadi Solusi Pelatihan ASN di Tengah Pandemi,"Sabtu, 8 Agustus 2020 - 16:42 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/08/08/16424591/platform-e-learning-asn-unggul-jadi-solusi-pelatihan-asn-di-tengah-pandemi
74,"Pandemi Covid-19 Bentuk Pola Kerja Baru ASN, LAN Lakukan Sejumlah Adaptasi ","Kamis, 16 Juli 2020 - 15:39 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/07/16/15392211/pandemi-covid-19-bentuk-pola-kerja-baru-asn-lan-lakukan-sejumlah-adaptasi
75,"Siapkan ""New Normal"", Pemerintah Terus Fokus pada 3 Aspek Kebijakan","Minggu, 28 Juni 2020 - 14:53 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/06/28/14535161/siapkan-new-normal-pemerintah-terus-fokus-pada-3-aspek-kebijakan
76,"Memasuki “New Normal”, LAN Terus Berupaya Tingkatkan Kompetensi ASN","Kamis, 25 Juni 2020 - 19:02 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/06/25/19024821/memasuki-new-normal-lan-terus-berupaya-tingkatkan-kompetensi-asn
77,"Tekan Emisi Karbon dalam Pembangunan, ASN Perlu Pahami Ekonomi Hijau ","Minggu, 7 Juni 2020 - 11:42 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/06/07/11421421/tekan-emisi-karbon-dalam-pembangunan-asn-perlu-pahami-ekonomi-hijau
78,Politeknik STIA LAN Siapkan Lulusan Kompeten dan Membawa Perubahan,"Minggu, 7 Juni 2020 - 09:02 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/06/07/090221071/politeknik-stia-lan-siapkan-lulusan-kompeten-dan-membawa-perubahan
79,"Percepat Pemulihan Ekonomi Pasca-pandemi, 8 Negara Ini Bisa Jadi Rujukan","Kamis, 4 Juni 2020 - 09:27 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/06/04/09270151/percepat-pemulihan-ekonomi-pasca-pandemi-8-negara-ini-bisa-jadi-rujukan
80,LAN Lakukan Penyederhanaan Birokrasi untuk Hadapi New Normal,"Sabtu, 30 Mei 2020 - 14:43 WIB",Lembaga Administrasi Negara,https://kilasbadannegara.kompas.com/lembaga-administrasi-negara/read/2020/05/30/14433571/lan-lakukan-penyederhanaan-birokrasi-untuk-hadapi-new-normal
