,total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain video,contain picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
182,13116,11,49,2851,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,138,0
183,744,32,242,2281,1,0.3333333333333333,1.0,7,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,68,0
184,194,0,0,220,0,0.0,1.0,15,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,241,0
185,195,1,5,219,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,234,0
186,193,0,6,218,0,0.07142857142857142,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,222,0
187,194,0,8,219,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,233,0
188,182,0,4,179,0,0.0,1.0,15,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,203,0
189,74459,28319,30526,3674,2,2.0,1.0,7,0,0,0,0,1,0,0,2,0,0,1,1,0,1,1,0,0,142,0
190,93394,2356,376,3283,0,0.0,1.0,11,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,274,0
191,2225,53,408,2511,1,0.5,1.0,7,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,61,0
192,851101,993477,90,5237,0,0.34285714285714286,1.0,10,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,100,0
193,851101,993477,90,5237,0,0.34285714285714286,1.0,10,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,64,0
194,93,0,19,74,0,0.6666666666666666,1.0,11,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,85,0
195,28465,279,1171,2608,0,0.0,1.0,7,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,145,1
196,20309,649,802,4862,0,0.0,1.0,10,0,1,0,0,0,1,0,2,0,0,1,1,0,1,1,1,0,275,1
197,383,47,405,812,0,0.0,1.0,9,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,234,0
198,383,47,405,812,0,0.0,1.0,9,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,145,1
199,355836,288998,372,4602,0,0.0,1.0,11,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,54,0
200,1653,3,243,346,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,180,0
201,25461,5710,494,4401,1,1.0,1.0,13,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,104,0
202,35518,3910,242,5445,0,0.0,1.0,10,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,30,0
203,192193,105095,33,4891,1,0.05263157894736842,1.0,15,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,130,0
204,2913,140,1573,345,0,0.0,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,163,0
205,192193,105095,33,4891,0,0.05263157894736842,1.0,15,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,148,0
206,192193,105095,33,4891,0,0.05263157894736842,1.0,15,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,134,0
207,9282,30,135,1271,0,0.0,1.0,13,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,277,1
208,172,4,23,161,0,0.0,1.0,12,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,277,1
209,22930,1486,1780,3052,0,0.0,1.0,7,0,0,0,0,0,1,0,2,0,0,1,1,0,1,1,0,0,262,0
210,7766,5030,384,1572,0,0.0,1.0,12,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,189,0
211,17665,737,985,4938,0,0.0,1.0,10,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,197,1
