Date,Price,Open,High,Low,Vol.,Change %
2019-07-21,2060.6,2060.6,2060.6,2060.6,,3.0800000000000005
2019-07-22,2191.0,2191.0,2191.0,2191.0,,0.97
2019-07-23,2165.0,2165.0,2165.0,2165.0,,1.19
2019-07-24,2014.0,2014.0,2014.0,2014.0,,6.97
2019-07-25,1947.0,1947.0,1947.0,1947.0,,3.33
2019-07-26,1937.0,1937.0,1937.0,1937.0,,0.51
2019-07-27,2050.8,2050.8,2050.8,2050.8,,2.5940000000000003
2019-07-28,2050.8,2050.8,2050.8,2050.8,,2.5940000000000003
2019-07-29,1922.0,1922.0,1922.0,1922.0,,0.77
2019-07-30,1899.0,1899.0,1899.0,1899.0,,1.2
2019-07-31,1868.0,1868.0,1868.0,1868.0,,1.63
2019-08-01,1812.0,1812.0,1812.0,1812.0,,3.0
2019-08-02,1788.0,1788.0,1788.0,1788.0,,1.32
2019-08-03,1857.8,1857.8,1857.8,1857.8,,1.5840000000000003
2019-08-04,1857.8,1857.8,1857.8,1857.8,,1.5840000000000003
2019-08-05,1774.0,1774.0,1774.0,1774.0,,0.78
2019-08-06,1734.0,1734.0,1734.0,1734.0,,2.25
2019-08-07,1712.0,1712.0,1712.0,1712.0,,1.27
2019-08-08,1720.0,1720.0,1720.0,1720.0,,0.47
2019-08-09,1748.0,1748.0,1748.0,1748.0,,1.63
2019-08-10,1737.6,1737.6,1737.6,1737.6,,1.2800000000000005
2019-08-11,1737.6,1737.6,1737.6,1737.6,,1.2800000000000005
2019-08-12,1774.0,1774.0,1774.0,1774.0,,1.49
2019-08-13,1864.0,1864.0,1864.0,1864.0,,5.07
2019-08-14,1950.0,1950.0,1950.0,1950.0,,4.61
2019-08-15,2047.0,2047.0,2047.0,2047.0,,4.97
2019-08-16,2088.0,2088.0,2088.0,2088.0,,2.0
2019-08-17,1944.6,1944.6,1944.6,1944.6,,3.628
2019-08-18,1944.6,1944.6,1944.6,1944.6,,3.628
2019-08-19,2067.0,2067.0,2067.0,2067.0,,1.01
2019-08-20,2059.0,2059.0,2059.0,2059.0,,0.39
2019-08-21,2061.0,2061.0,2061.0,2061.0,,0.1
